Model,Brand,Price ($),Price Range,Year,Exterior color,Interior color,Seats,Range (mi),Fast Charging L3 (minutes),Mileage (mi),Performance (HP),Charging type,Battery Size (kWh),Battery Warranty (months),Battery Warranty (miles),VIN,URL
3 Rear-Wheel Drive,Tesla,23738.0,Low,2024.0,White,Black,5.0,272.0,30.0,755.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA9RF745964,https://ev.com/vehicle/b8qsxi
3 Standard Range Plus Rear-Wheel Drive,Tesla,17890.0,Low,2021.0,White,White/Black,5.0,272.0,25.0,1826.0,271.0,NACS (J3400) DC fast charge connector,50.0,96.0,100000.0,5YJ3E1EA1MF092149,https://ev.com/vehicle/u9mjgm
Ylong Range Dual Motor All-Wheel Drive,Tesla,25136.0,Low,2024.0,White,Black,5.0,337.0,25.0,4982.0,295.0,NACS (J3400) DC fast charge connector,60.0,96.0,120000.0,7SAYGDEDXRF132766,https://ev.com/vehicle/j890ui
Ylong Range Dual Motor All-Wheel Drive,Tesla,29165.0,Low,2025.0,Blue,Black,5.0,311.0,30.0,2670.0,425.0,NACS (J3400) DC fast charge connector,81.0,96.0,120000.0,7SAYGAEEXSF295463,https://ev.com/vehicle/du1n4u
Yrwd,Tesla,20228.0,Low,2023.0,Gray,Black,5.0,260.0,25.0,1666.0,295.0,NACS (J3400) DC fast charge connector,60.0,96.0,120000.0,7SAYGDED4PF971972,https://ev.com/vehicle/rav6ns
2024Teslacybertruckall-Wheel Drive,Tesla,64993.0,High,2024.0,Silver,Black,5.0,325.0,30.0,3611.0,600.0,NACS (J3400) DC fast charge connector,123.0,96.0,150000.0,7G2CEHED0RA037597,https://ev.com/vehicle/2r0432
3 Long Range,Tesla,9231.0,Low,2018.0,Unknown,Unknown,5.0,310.0,27.0,20916.0,271.0,NACS (J3400) DC fast charge connector,75.0,96.0,120000.0,5YJ3E1EA9JF017677,https://ev.com/vehicle/jqq6rt
Splaid Tri Motor All-Wheel Drive,Tesla,48395.0,Medium,2022.0,Gray,Cream,5.0,396.0,30.0,3559.0,1020.0,NACS (J3400) DC fast charge connector,100.0,96.0,150000.0,5YJSA1E65NF488492,https://ev.com/vehicle/177js9
Sdual Motor All-Wheel Drive,Tesla,32883.0,Medium,2022.0,Black,Black,5.0,405.0,30.0,15736.0,670.0,NACS (J3400) DC fast charge connector,100.0,96.0,150000.0,5YJSA1E55NF478293,https://ev.com/vehicle/gib2fl
Xlong Range,Tesla,59379.0,High,2024.0,Silver,White,5.0,329.0,30.0,5848.0,670.0,NACS (J3400) DC fast charge connector,100.0,96.0,150000.0,7SAXCDE52RF449487,https://ev.com/vehicle/kosxkv
Ylong Range Dual Motor All-Wheel Drive,Tesla,26173.0,Low,2024.0,Black,White/Black,5.0,311.0,30.0,9923.0,425.0,NACS (J3400) DC fast charge connector,81.0,96.0,120000.0,7SAYGDEE0RA234986,https://ev.com/vehicle/y9tyil
2024Teslacybertruckall-Wheel Drive,Tesla,65185.0,High,2024.0,Blue,Tactical Grey,5.0,325.0,30.0,8273.0,600.0,NACS (J3400) DC fast charge connector,123.0,96.0,150000.0,7G2CEHED5RA034520,https://ev.com/vehicle/h2qp1t
2024Teslacybertruckall-Wheel Drive,Tesla,62940.0,High,2024.0,Unknown,Black,5.0,325.0,30.0,7379.0,600.0,NACS (J3400) DC fast charge connector,123.0,96.0,150000.0,7G2CEHED7RA049603,https://ev.com/vehicle/xetl24
3 Rear-Wheel Drive,Tesla,16431.0,Low,2023.0,Blue,Black,5.0,272.0,30.0,15410.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA3PF475112,https://ev.com/vehicle/a2b4ww
3 Rear-Wheel Drive,Tesla,16740.0,Low,2023.0,White,Unknown,5.0,272.0,30.0,33338.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA3PF451327,https://ev.com/vehicle/0nb762
3 Rear-Wheel Drive,Tesla,10540.0,Low,2022.0,Silver,White/Black,5.0,272.0,30.0,39791.0,271.0,NACS (J3400) DC fast charge connector,50.0,96.0,100000.0,5YJ3E1EA6NF102899,https://ev.com/vehicle/7j00ca
3 Long Range Dual Motor All-Wheel Drive,Tesla,18011.0,Low,2023.0,White,White,5.0,333.0,30.0,20579.0,425.0,NACS (J3400) DC fast charge connector,82.0,96.0,120000.0,5YJ3E1EB2PF594004,https://ev.com/vehicle/79j2hi
3 Rear-Wheel Drive,Tesla,14140.0,Low,2023.0,Blue,Black,5.0,272.0,30.0,14929.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA5PF545774,https://ev.com/vehicle/t97puj
3 Rear-Wheel Drive,Tesla,14240.0,Low,2023.0,Black,Black,5.0,272.0,30.0,23010.0,271.0,NACS (J3400) DC fast charge connector,60.0,96.0,100000.0,5YJ3E1EA4PF661127,https://ev.com/vehicle/7tnium
