Car name,Seller Location,Phone Number,E-car Producer,First Registration,Charge Rate,Price ($),Current Mileage,Max Speed (km/h),Battery (kWh),Engine Capacity (p.h.),Car URL
Vintage Classic car,"Wucheng County, Dezhou City, Shandong Province",+86 196 0214 3437,Vintage,2025,90.0,4600,5752,187,5.0,344,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/vintage-classic-car
JMEV GSE,Unknown,NONE,JMEV,2026,450.0,23000,10,140,63.0,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/jmev-gse
Yuanhang H9,"9461 Charleville Blvd PMB 27931 Beverly Hills, CA 90212",NONE,Yuanhang,2024,10.0,72000,950,210,150.0,697,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/yuanhang-h9
Yuanhang Y6,"9461 Charleville Blvd PMB 27931 Beverly Hills, CA 90212",NONE,Yuanhang,2024,1020.0,38000,10,205,150.0,707,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/yuanhang-y6
DAYUN Yuanhang H8,"9461 Charleville Blvd PMB 27931 Beverly Hills, CA 90212",NONE,DAYUN,2024,650.0,40500,10,210,98.0,671,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/dayun-yuanhang-h8
Xiaomi SU7 MAX,Horgos,NONE,Xiaomi,2024,800.0,43000,10,265,101.0,664,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/xiaomi-su7-max
NWONE,8 23 St - Za'abeel - Za'abeel 2 - Dubai - United Arab Emirates,+00971545085646,NWONE,2023,860.0,28500,100,240,33.0,1500,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/voyah-free-674
Zeekr 001 AT 2023,"Ulitsa Zatsepa, 21, Moscow",+7(495) 128 06 00,ZEEKR,2023,650.0,74000,45,200,100.0,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/zeekr-001-at-2023
Lixiang L7,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,Lixiang,2022,1315.0,99736,5752,180,42.8,450,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/lixiang-l7
MiniCooper SE,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,MINI,2022,215.0,70168,5752,150,32.0,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/minicooper-se
AVATR-ll Middle,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,CHANGAN Auto,2022,680.0,84238,5752,200,116.0,578,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/avatr-ll-middle
ORA BALLET CAT,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,GWM ORA UK,2022,500.0,58985,5752,155,60.5,171,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/ora-ballet-cat
Honda e:NP1 TOP,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,HONDA,2022,510.0,57212,5752,150,69.0,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/honda-e-np1-top
BYD TANG EV,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,BYD Auto,2022,730.0,92270,5752,180,108.8,228,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/byd-tang-ev-633
VOLKSWAGEN ID4 X PRO,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,VOLKSWAGEN,2022,555.0,54351,5752,160,83.4,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/volkswagen-id4-x-pro
BMW I7 XDRIVE60 LIMOUSINE,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,BMW,2022,483.0,225988,5752,240,101.7,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/bmw-i7-xdrive60-limousine-630
ZEEKR 001,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,ZEEKR,2022,712.0,104787,5752,200,100.0,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/zeekr-001-629
VOYAH FREE,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,Voyah,2022,860.0,97609,5752,200,33.0,694,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/voyah-free-628
BYD HAN EV 2022 4WD TOP,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,BYD Auto,2022,610.0,93303,5752,185,85.4,516,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/byd-han-ev-2022-4wd-top
BYD tang EV,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,BYD Auto,2022,635.0,88997,5752,180,108.8,510,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/byd-tang-ev-626
Audi 50 e-tron Q5,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,AUDI,2022,520.0,129046,5752,190,83.4,301,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/audi-50-e-tron-q5
Volkswagen id 4 X Pure +,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,VOLKSWAGEN,2022,550.0,54546,5752,160,83.4,168,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/volkswagen-id-4-x-pure-624
TESLA MODEL 3 LONG RANGE (EU),"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,TESLA,2022,602.0,77370,5752,233,80.0,367,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-3-long-range-eu
Tesla Model 3 Performa,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,TESLA,2022,547.0,88279,5752,261,82.0,510,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-3-performa
TESLA MODEL Y PERFOMANCE,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,TESLA,2022,514.0,99045,5752,250,85.0,571,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-y-perfomance
TESLA MODEL Y PERFORMANCE,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,TESLA,2022,514.0,99045,5752,250,82.0,571,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-y-performance
VOYAH FREE,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,Voyah,2021,860.0,90278,5752,187,33.0,696,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/voyah-free-619
BMW i7 xDrive60 Limousine,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,BMW,2022,625.0,237541,5752,240,105.0,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/bmw-i7-xdrive60-limousine-618
MERCEDES-BENZ EQS 53 AMG 4MATIC,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,MERCEDES,2022,526.0,239763,5752,220,107.8,658,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/mercedes-benz-eqs-53-amg-4matic
TESLA MODEL S PLAID,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,TESLA,2022,528.0,186637,5752,322,100.0,1034,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-s-plaid
XPENG G3 520i PREMIUM EDITION,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,XPENG,2020,860.0,45932,520,170,66.5,197,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/xpeng-g3-520i-premium-edition
POLESTAR 2 LAUNCH EDITION,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,POLESTAR,2020,500.0,74874,506,204,78.0,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/polestar-2-launch-edition-614
ZEEKR 001 YOU EDITION,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,ZEEKR,2022,650.0,107991,5752,200,100.0,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/zeekr-001-you-edition
ZEEKR 001 WE EDITION DUAL MOTOR,"г. Москва, ул. Зацепа 21",+7(495) 128 06 00,ZEEKR,2022,526.0,91224,4900,200,86.0,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/zeekr-001-we-edition-dual-motor
BYD Dolphin,"Chengdu city, Sichuan",+86 182 8047 4651,BYD Auto,2022,400.0,18500,30,160,45.0,177,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-dolphin
BYD SEAL,"Chengdu city, Sichuan",+86 182 8047 4651,BYD Auto,2022,650.0,31900,10,180,82.5,530,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-seal
BYD E2,"Chengdu city, Sichuan",+86 182 8047 4651,BYD Auto,2022,401.0,18200,20,130,43.2,95,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-e2
wuling mini ev,"Chengdu city, Sichuan",+86 182 8047 4651,wuling,2022,300.0,5500,10,100,26.5,41,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/wuling-mini-ev
GAC AION S Plus,"Chengdu city, Sichuan",+86 182 8047 4651,GAC Motor,2022,510.0,22550,60,160,50.6,224,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/gac-aion-s-plus
VW ID 6CROZZ PRO,"Chengdu city, Sichuan",+86 182 8047 4651,VOLKSWAGEN,2022,516.0,39650,30,160,84.8,180,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/vw-id-6crozz-pro
VW ID 6CROZZ lit PRO,"Chengdu city, Sichuan",+86 182 8047 4651,VOLKSWAGEN,2022,600.0,35600,40,160,84.8,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/vw-id-6crozz-lit-pro
VW ID 6CROZZ PURE+,"Chengdu, Sichuan",+86 182 8047 4651,VOLKSWAGEN,2022,540.0,35350,50,160,84.8,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/vw-id-6crozz-pure
VW ID 4CROZZ PRO,Unknown,+86 182 8047 4651,VOLKSWAGEN,2022,550.0,32880,100,160,84.8,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/id-4crozz-pro
VW ID4 X,Unknown,+86 182 8047 4651,VOLKSWAGEN,2022,520.0,26300,20,160,83.4,313,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/vw-id4-x
VW ID6 X,Unknown,+86 182 8047 4651,VOLKSWAGEN,2022,510.0,35076,20,160,83.4,313,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/vw-id6-x
DONGFENG ENS 1,Yerevan,+89996265453,DONGFENG,2022,222.0,25500,54200,150,68.0,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/armenia/dongfeng-ens-1
